source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw
0001547131010502217,0001547131010439714,0.002247,-0.002776,-0.002083,-0.000437,-0.000208,0.000094
0001547131010564720,0001547131010502217,0.000650,-0.000198,0.001056,0.000098,0.000026,-0.000024
0001547131010627225,0001547131010564720,0.000478,0.000112,0.000122,0.000013,-0.000040,-0.000009
0001547131010689727,0001547131010627225,-0.000007,-0.000037,-0.000028,0.000014,-0.000032,0.000016
0001547131010752254,0001547131010689727,0.000258,-0.000311,0.000096,0.000093,-0.000041,0.000022
0001547131010814734,0001547131010752254,0.000032,-0.000040,0.000022,0.000007,0.000001,-0.000000
0001547131010877237,0001547131010814734,-0.000432,-0.000044,-0.000371,0.000058,-0.000076,0.000030
0001547131010939741,0001547131010877237,0.000002,0.000001,-0.000001,0.000008,-0.000001,0.000000
0001547131011002245,0001547131010939741,0.000031,-0.000021,-0.000220,-0.000043,-0.000085,0.000017
0001547131011064732,0001547131011002245,0.000030,0.000007,0.000010,-0.000001,-0.000001,-0.000007
0001547131011127218,0001547131011064732,-0.000019,-0.000022,-0.000148,0.000010,-0.000064,0.000002
0001547131011189721,0001547131011127218,-0.000036,-0.000016,-0.000014,0.000008,0.000001,0.000007
0001547131011252225,0001547131011189721,0.000209,-0.000015,0.000031,0.000040,-0.000027,-0.000011
0001547131011314728,0001547131011252225,-0.000058,0.000011,-0.000024,0.000002,-0.000002,-0.000002
0001547131011377232,0001547131011314728,0.000177,-0.000007,0.000077,0.000012,-0.000010,-0.000000
0001547131011439736,0001547131011377232,-0.000015,-0.000027,-0.000008,-0.000014,-0.000000,0.000003
0001547131011502238,0001547131011439736,0.000195,0.000027,0.000059,0.000015,-0.000014,-0.000010
0001547131011564743,0001547131011502238,0.000019,-0.000007,0.000011,-0.000000,-0.000000,-0.000009
0001547131011627246,0001547131011564743,0.000066,0.000049,0.000013,0.000049,-0.000006,0.000001
0001547131011689749,0001547131011627246,0.000032,-0.000021,-0.000000,0.000002,-0.000003,-0.000000
0001547131011752252,0001547131011689749,0.000031,-0.000013,-0.000011,-0.000005,-0.000018,0.000002
0001547131011814755,0001547131011752252,0.000012,-0.000035,0.000009,-0.000015,-0.000000,-0.000007
0001547131011877259,0001547131011814755,0.000088,0.000007,0.000034,0.000015,0.000001,0.000005
0001547131011939763,0001547131011877259,-0.000026,-0.000001,-0.000005,0.000008,0.000005,0.000010
0001547131012002266,0001547131011939763,-0.000033,0.000021,-0.000027,0.000022,-0.000014,-0.000002
0001547131012064769,0001547131012002266,-0.000078,-0.000006,-0.000040,-0.000002,-0.000008,-0.000003
0001547131012127272,0001547131012064769,-0.000016,-0.000004,-0.000008,-0.000006,-0.000002,-0.000001
0001547131012189743,0001547131012127272,0.000031,0.000012,0.000017,0.000011,0.000006,-0.000001
0001547131012252246,0001547131012189743,-0.000037,-0.000013,-0.000010,-0.000004,0.000002,0.000003
0001547131012314750,0001547131012252246,0.000044,0.000015,0.000005,0.000005,-0.000004,-0.000007
0001547131012377253,0001547131012314750,-0.000001,-0.000001,-0.000003,0.000001,-0.000004,-0.000003
0001547131012439757,0001547131012377253,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
0001547131012502260,0001547131012439757,0.000033,0.000016,0.000014,0.000011,0.000002,-0.000000
0001547131012564763,0001547131012502260,-0.000019,-0.000002,-0.000000,-0.000006,0.000002,-0.000004
0001547131012627267,0001547131012564763,-0.000008,-0.000003,-0.000003,0.000002,0.000002,-0.000002
0001547131012689770,0001547131012627267,-0.000018,-0.000017,-0.000013,-0.000009,-0.000008,0.000007
0001547131012752274,0001547131012689770,-0.000010,0.000002,-0.000009,0.000008,-0.000007,-0.000002
0001547131012814777,0001547131012752274,0.000037,0.000007,0.000015,0.000008,0.000004,-0.000003
0001547131012877281,0001547131012814777,0.000054,0.000027,0.000016,-0.000002,0.000004,-0.000004
0001547131012939784,0001547131012877281,-0.000038,0.000004,-0.000014,-0.000004,-0.000001,0.000002
0001547131013002287,0001547131012939784,0.000025,0.000002,0.000004,0.000010,-0.000006,-0.000001
0001547131013064791,0001547131013002287,0.000035,0.000007,0.000004,0.000003,-0.000002,-0.000001
0001547131013127294,0001547131013064791,-0.000054,-0.000010,-0.000018,0.000001,0.000000,0.000001
0001547131013189797,0001547131013127294,0.000047,0.000020,0.000031,0.000004,0.000007,-0.000001
0001547131013252301,0001547131013189797,-0.000040,-0.000014,-0.000022,0.000001,-0.000003,0.000001
0001547131013314773,0001547131013252301,-0.000027,0.000024,-0.000021,0.000009,-0.000003,-0.000006
0001547131013377276,0001547131013314773,0.000022,-0.000006,0.000006,0.000000,-0.000000,-0.000001
0001547131013439780,0001547131013377276,0.000028,0.000018,0.000003,-0.000003,-0.000001,0.000007
0001547131013502283,0001547131013439780,-0.000049,-0.000027,-0.000020,0.000005,0.000003,-0.000001
0001547131013564786,0001547131013502283,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
0001547131013627290,0001547131013564786,0.000009,-0.000034,-0.000001,-0.000016,-0.000001,0.000003
0001547131013689793,0001547131013627290,0.000049,0.000023,0.000011,0.000005,0.000000,0.000000
0001547131013752296,0001547131013689793,0.000068,0.000003,0.000031,0.000002,0.000002,-0.000003
0001547131013814800,0001547131013752296,0.000034,0.000010,0.000011,0.000013,-0.000002,-0.000003
0001547131013877303,0001547131013814800,0.000004,-0.000014,-0.000007,-0.000004,-0.000000,-0.000001
0001547131013939807,0001547131013877303,0.000187,-0.000007,0.000078,-0.000005,0.000001,0.000008
0001547131014002311,0001547131013939807,-0.000015,-0.000007,-0.000009,0.000006,-0.000005,-0.000001
0001547131014064814,0001547131014002311,-0.000041,-0.000010,-0.000016,-0.000012,-0.000001,0.000002
0001547131014127317,0001547131014064814,-0.000044,0.000011,-0.000016,0.000005,-0.000001,-0.000003
0001547131014189820,0001547131014127317,-0.000007,0.000010,0.000002,0.000002,-0.000001,-0.000004
0001547131014252324,0001547131014189820,-0.000024,-0.000012,-0.000009,-0.000001,-0.000003,-0.000001
0001547131014314827,0001547131014252324,0.000023,-0.000012,-0.000004,-0.000002,-0.000001,-0.000002
0001547131014377331,0001547131014314827,0.000031,0.000010,0.000013,0.000004,0.000001,-0.000002
0001547131014439834,0001547131014377331,0.000012,0.000018,0.000011,-0.000001,0.000006,0.000002
